step,confidence_level,rel_error_lower_bound,rel_error_upper_bound
55,50,-0.13240592126254155,0.1620424869754851
55,75,-0.09905309491863033,0.26822414600853106
55,90,-0.12376008722635462,0.2613136874672266
56,50,-0.1282232962197315,0.15967247040350588
56,75,-0.09725890898798882,0.2637500678279222
56,90,-0.1218940243518602,0.2576592466193511
57,50,-0.1240406711769214,0.15730245383152666
57,75,-0.09546472305734732,0.25927598964731335
57,90,-0.12002796147736577,0.25400480577147555
58,50,-0.11985804613411133,0.15493243725954742
58,75,-0.09367053712670581,0.25480191146670444
58,90,-0.11816189860287135,0.2503503649236001
59,50,-0.11567542109130124,0.1525624206875682
59,75,-0.0918763511960643,0.2503278332860956
59,90,-0.11629583572837693,0.24669592407572455
60,50,-0.11149279604849116,0.15019240411558898
60,75,-0.09008216526542279,0.2458537551054867
60,90,-0.1144297728538825,0.24304148322784905
61,50,-0.10731017100568108,0.14782238754360977
61,75,-0.08828797933478127,0.24137967692487783
61,90,-0.11256370997938808,0.23938704237997355
62,50,-0.103127545962871,0.14545237097163055
62,75,-0.08649379340413976,0.23690559874426897
62,90,-0.11069764710489366,0.23573260153209805
63,50,-0.09894492092006094,0.14308235439965133
63,75,-0.08469960747349825,0.2324315205636601
63,90,-0.10883158423039924,0.23207816068422252
64,50,-0.09476229587725085,0.14071233782767212
64,75,-0.08290542154285674,0.2279574423830512
64,90,-0.10696552135590481,0.22842371983634702
65,50,-0.09057967083444077,0.1383423212556929
65,75,-0.08111123561221523,0.22348336420244236
65,90,-0.10509945848141038,0.22476927898847152
66,50,-0.08639704579163068,0.13597230468371369
66,75,-0.07931704968157371,0.21900928602183348
66,90,-0.10323339560691595,0.22111483814059602
67,50,-0.08221442074882061,0.13360228811173444
67,75,-0.0775228637509322,0.2145352078412246
67,90,-0.10136733273242153,0.21746039729272051
68,50,-0.07803179570601053,0.13123227153975522
68,75,-0.07572867782029069,0.21006112966061571
68,90,-0.09950126985792711,0.21380595644484499
69,50,-0.07384917066320046,0.128862254967776
69,75,-0.07393449188964918,0.20558705148000686
69,90,-0.09763520698343268,0.21015151559696948
70,50,-0.06966654562039037,0.1264922383957968
70,75,-0.07214030595900767,0.20111297329939798
70,90,-0.09576914410893826,0.20649707474909398
71,50,-0.06548392057758029,0.12412222182381757
